token,label,sentence
showed,EVENT,19
that,O,19
the,O,19
words,EVENT,19
had,O,19
a,O,19
depressing,O,19
effect,EVENT,19
upon,O,19
his,O,19
mind,O,19
",",O,19
but,O,19
Florence,O,19
interrupted,EVENT,19
her,O,19
cousin,O,19
with,O,19
an,O,19
indignant,O,19
protest,EVENT,19
.,O,19
she,O,20
exclaimed,EVENT,20
.,O,20
John,O,21
Linden,O,21
's,O,21
face,O,21
brightened,EVENT,21
up,O,21
he,O,21
said,EVENT,21
",",O,21
eagerly,O,21
.,O,21
interrupted,EVENT,22
Curtis,O,22
",",O,22
harshly,O,22
",",O,22
said,EVENT,22
his,O,22
uncle,O,22
",",O,22
in,O,22
a,O,22
voice,O,22
of,O,22
anguish,O,22
.,O,22
demanded,EVENT,23
Florence,O,23
",",O,23
indignantly,O,23
.,O,23
said,EVENT,24
Curtis,O,24
",",O,24
sinking,EVENT,24
his,O,24
voice,O,24
into,O,24
softly,O,24
modulated,O,24
accents,EVENT,24
.,O,24
said,EVENT,25
Florence,O,25
",",O,25
coldly,O,25
",",O,25
rising,EVENT,25
from,O,25
her,O,25
recumbent,O,25
position,O,25
",",O,25
and,O,25
drawing,O,25
aloof,EVENT,25
from,O,25
Curtis,O,25
.,O,25
said,EVENT,26
Curtis,O,26
",",O,26
with,O,26
faltering,O,26
voice,O,26
",",O,26
feigning,EVENT,26
an,O,26
emotion,O,26
which,O,26
he,O,26
did,O,26
not,O,26
feel,O,26
",",O,26
said,EVENT,26
his,O,26
cousin,O,26
",",O,26
coldly,O,26
.,O,26
John,O,27
Linden,O,27
seemed,O,27
absorbed,O,27
in,O,27
thought,O,27
.,O,27
he,O,28
said,EVENT,28
;,O,28
protested,EVENT,28
Curtis,O,28
",",O,28
asked,EVENT,28
Curtis,O,28
.,O,28
said,EVENT,29
Curtis,O,29
;,O,29
but,O,29
his,O,29
tone,O,29
belied,EVENT,29
his,O,29
words,EVENT,29
.,O,29
said,EVENT,30
his,O,30
uncle,O,30
",",O,30
with,O,30
a,O,30
sigh,EVENT,30
.,O,30
said,EVENT,31
Florence,O,31
",",O,31
impulsively,O,31
",",O,31
Curtis,O,31
",",O,31
screened,O,31
from,O,31
his,O,31
uncle,O,31
's,O,31
view,O,31
",",O,31
darted,O,31
a,O,31
glance,EVENT,31
of,O,31
bitter,O,31
indignation,O,31
at,O,31
Florence,O,31
.,O,31
he,O,32
muttered,EVENT,32
to,O,32
himself,O,32
.,O,32
said,EVENT,33
Mr.,O,33
Linden,O,33
",",O,33
wearily,O,33
.,O,33
said,EVENT,34
Florence,O,34
",",O,34
eagerly,O,34
.,O,34
said,EVENT,35
Curtis,O,35
.,O,35
John,O,36
Linden,O,36
",",O,36
supported,EVENT,36
on,O,36
either,O,36
side,O,36
by,O,36
his,O,36
nephew,O,36
and,O,36
niece,O,36
",",O,36
left,EVENT,36
the,O,36
room,O,36
",",O,36
and,O,36
was,O,36
assisted,EVENT,36
to,O,36
his,O,36
chamber,O,36
.,O,36
Curtis,O,37
and,O,37
Florence,O,37
returned,EVENT,37
to,O,37
the,O,37
library,O,37
.,O,37
said,EVENT,38
her,O,38
cousin,O,38
",",O,38
--,O,38
leading,EVENT,38
her,O,38
to,O,38
a,O,38
sofa,O,38
--,O,38
With,O,38
a,O,38
gesture,EVENT,38
of,O,38
repulsion,O,38
Florence,O,38
declined,EVENT,38
the,O,38
proffered,EVENT,38
seat,O,38
",",O,38
and,O,38
remained,O,38
standing,O,38
.,O,38
she,O,39
answered,EVENT,39
",",O,39
coldly,O,39
.,O,39
said,EVENT,40
Florence,O,40
",",O,40
decidedly,O,40
.,O,40
Curtis,O,41
bit,EVENT,41
his,O,41
lip,O,41
in,O,41
mortification,O,41
",",O,41
for,O,41
her,O,41
tone,O,41
was,O,41
cold,O,41
and,O,41
scornful,O,41
.,O,41
Mingled,O,42
with,O,42
this,O,42
mortification,O,42
was,O,42
genuine,O,42
regret,O,42
",",O,42
for,O,42
",",O,42
so,O,42
far,O,42
as,O,42
he,O,42
was,O,42
capable,O,42
of,O,42
loving,O,42
any,O,42
one,O,42
",",O,42
he,O,42
loved,O,42
his,O,42
fair,O,42
young,O,42
cousin,O,42
.,O,42
he,O,43
returned,EVENT,43
.,O,43
