verb,lemma
Pursued,pursue
inherits,inherit
Ursa,Ursa
birth,birth
divorces,divorce
Confronted,confront
reciprocate,reciprocate
smacking,smack
redoubles,redouble
reunites,reunite
obliterating,obliterate
Favored,favor
complicating,complicate
straddles,straddle
pushes,push
staring,stare
desire,desire
Sparse,sparse
castrating,castrate
molests,molest
propositions,proposition
imprisoning,imprison
Situated,situate
tiempo,tiempo
deceased,decease
language,language
Bury,bury
finalizing,finalize
humanizes,humanize
shepherded,shepherd
unchallenging,unchallenge
disappoint,disappoint
pawned,pawn
Gifted,gift
catching,catch
unproduced,unproduce
synthesized,synthesize
toss,toss
echo,echo
Recognizing,recognize
TAG,TAG
Engraving,engrave
besetting,beset
discarded,discard
retaining,retain
graduates,graduate
Oppressed,oppress
paralleled,parallel
interlaced,interlace
prioritises,prioritise
devastating,devastate
debrief,debrief
mobilizing,mobilize
lifesaving,lifesave
Grow,grow
tailored,tailor
diêu,diêu
Graduated,graduate
welling,well
blinded,blind
prey,prey
disallow,disallow
partying,party
Blame,blame
Excuse,excuse
Channing,channe
century,century
Embarrassing,embarrass
teasing,tease
escort,escort
débutantes,débutante
dispersed,disperse
Came,come
Dress,dress
blinked,blink
exudes,exude
laced,lace
dramatise,dramatise
racing,race
closes,close
preexisting,preexist
Renaming,rename
Moderated,moderate
Consisting,consist
Went,go
cursing,curse
spat,spit
Gathering,gather
Settling,settle
freelance,freelance
presiding,preside
assured,assure
bargain,bargain
neglecting,neglect
berating,berate
harmed,harm
enthuse,enthuse
unharmed,unharme
speeding,speed
wipe,wipe
redirected,redirect
mail,mail
sorted,sort
grandstanding,grandstand
comforting,comfort
faring,fare
son,son
Removing,remove
outrage,outrage
End,end
monitored,monitor
belied,belie
object,object
dehumanize,dehumanize
victimize,victimize
raving,rave
facilitates,facilitate
Hospitalized,hospitalize
discriminated,discriminate
impugned,impugn
chill,chill
sizzling,sizzle
Budgeted,budget
mottled,mottle
agitating,agitate
embellished,embellish
tangled,tangle
headlining,headlining
un,un
Helping,help
tingling,tingle
flugelhorn,flugelhorn
tease,tease
ascend,ascend
Remain,remain
Backed,back
reconnects,reconnect
layering,layer
scurrying,scurry
belts,belt
Sting,ste
empowers,empower
Count,count
donates,donate
Saving,save
equipping,equip
convene,convene
benefitting,benefit
GCTE,GCTE
descends,descend
reneging,renege
denominated,denominate
floating,float
attorney,attorney
wiring,wire
finalising,finalise
Added,add
bhakti,bhakti
refocused,refocus
socialise,socialise
snowballed,snowball
scandalised,scandalise
beaded,bead
redefine,redefine
complement,complement
conversed,converse
Conflicting,conflict
modelled,model
mar,mar
intercede,intercede
amuse,amuse
discoursed,discourse
prolapsed,prolapse
tolerance,tolerance
void,void
redressed,redress
acquiesce,acquiesce
interacted,interact
wiretapping,wiretappe
sickening,sicken
bugged,bug
disapproving,disapprove
wavering,waver
preconceived,preconceive
hushed,hush
Arrested,arrest
refuel,refuel
Refuelling,refuel
discourses,discourse
function,function
irradiated,irradiate
rebranded,rebrande
weaken,weaken
subjecting,subject
fake,fake
looting,loot
delighted,delight
flower,flower
replicating,replicate
poison,poison
awakens,awaken
Performed,perform
shout,shout
lands,land
humming,hum
weeping,weep
merge,merge
parodying,parody
remedied,remedie
inflict,inflict
burdening,burden
woman,woman
paralyse,paralyse
bondage,bondage
hanker,hanker
mistake,mistake
reframing,reframe
accommodating,accommodate
repurposing,repurpose
Funded,fund
contradicted,contradict
negating,negate
radiate,radiate
hugging,hug
exuding,exude
slanted,slant
convenes,convene
disseminates,disseminate
core,core
Wahhabis,wahhabi
imprisons,imprison
blunt,blunt
contradicts,contradict
defaming,defame
condition,condition
Pact,pact
stabilized,stabilize
underwrote,underwrite
repaying,repay
Fueling,fuel
sisters,sister
bared,bare
modeling,model
autographed,autograph
implements,implement
futuro,futuro
chef,chef
cook,cook
replenish,replenish
Processing,process
podcasting,podcast
Liberated,liberate
Enchained,enchain
answers,answer
Mentored,mentor
prolong,prolong
destabilized,destabilize
nationalise,nationalise
recoiled,recoil
isolating,isolate
spurring,spur
gunned,gun
declassified,declassify
indict,indict
imputed,impute
salute,salute
Accept,accept
widened,widen
tilt,tilt
bribes,bribe
الحميد‎,الحميد‎
deepening,deepen
das,da
Read,read
Jesting,jest
showrunner,showrunner
anthologised,anthologise
grace,grace
yearn,yearn
charges,charge
Adapting,adapt
plucked,pluck
Sailed,sail
reimagining,reimagine
disembarks,disembark
stylized,stylize
piece,piece
mimic,mimic
Fighting,fight
Owe,owe
reared,rear
relay,relay
reviews,review
Specialized,specialize
Sementes,semente
ministering,minister
photocopied,photocopy
battered,batter
ordaining,ordain
repatriate,repatriate
root,root
Ey,ey
reqib,reqib
howl,howl
realist,realist
Charrua,Charrua
Forgiving,forgive
emanates,emanate
veered,veer
fulfills,fulfill
Appleyard,appleyard
edges,edge
inedited,inedite
podcaster,podcaster
Allegro,Allegro
Gardening,garden
reclaim,reclaim
"messy""-brained","messy""-braine"
scold,scold
voices,voice
emceeing,emcee
grandfather,grandfather
attracts,attract
terrorizes,terrorize
relishing,relish
toppling,topple
extradited,extradite
loyalists,loyalist
repulsed,repulse
disarm,disarm
walled,wall
disregard,disregard
Presiding,preside
impair,impair
fundadores,fundadore
Clarifying,clarify
yelling,yell
mused,muse
drops,drop
cleansed,cleanse
wronged,wrong
tattooing,tattoo
Accomplished,accomplish
reformulated,reformulate
Sia,sia
Doing,do
vaccinate,vaccinate
torpedoed,torpedo
sunk,sink
ruining,ruin
resounding,resound
uplift,uplift
denote,denote
Scheduled,schedule
exhorted,exhort
analysed,analyse
redrawing,redrawe
rocked,rock
paving,pave
infers,infer
encroaching,encroach
enshrine,enshrine
extracted,extract
excise,excise
stabilise,stabilise
impedes,impede
Accepting,accept
grieving,grieve
rejuvenated,rejuvenate
emulating,emulate
anās,anā
capitalize,capitalize
Verve,verve
Touched,touch
reintroduce,reintroduce
spiraled,spiral
fooling,fool
Inflamed,inflame
praise,praise
preaches,preach
redramatized,redramatize
brainwashing,brainwash
ravishing,ravish
sœurs,sœur
retrouvé,retrouvé
sinting,sinte
collapsing,collapse
muse,muse
deepens,deepen
overshadow,overshadow
jarring,jar
alters,alter
underlies,underlie
evolves,evolve
reappear,reappear
Cultivated,cultivate
Hoping,hope
preside,preside
manslaughter,manslaughter
Free,free
knocking,knock
climbing,climb
licensing,license
disfellowshipped,disfellowshippe
bashed,bash
ringing,ring
monitoring,monitor
scrapped,scrap
taping,tape
stave,stave
cloistered,cloister
terrified,terrify
extenuating,extenuate
volunteer,volunteer
rehired,rehire
Punked,punke
sponsor,sponsor
Coached,coach
dabbled,dabble
model,model
neared,near
heated,heat
institutionalize,institutionalize
envisage,envisage
uninformed,uninforme
disband,disband
activating,activate
interfered,interfere
widen,widen
exit,exit
repatriated,repatriate
op,op
keerkring,keerkre
r)emigrated,r)emigrate
Synapse,Synapse
Slips,slip
supergroup,supergroup
tonks,tonk
shortstop,shortstop
hopping,hop
Touch,touch
stalling,stall
Cared,care
Side,side
Crying,cry
platinum,platinum
pitch,pitch
songwriting,songwrite
exchanging,exchange
livestreamed,livestreame
Toke,toke
Roll,roll
Smoke,smoke
forfeited,forfeit
legalized,legalize
disc,disc
string,stre
repaired,repair
scratch,scratch
regulate,regulate
legalize,legalize
scratched,scratch
Vote,vote
sewed,sew
swimming,swim
sentencing,sentence
multiplied,multiply
renegotiated,renegotiate
Feed,feed
braiding,braid
tours,tour
commute,commute
prisoner,prisoner
Depending,depend
usage,usage
collectivised,collectivise
privatised,privatise
إلياس,إلياس
mobilized,mobilize
Noticed,notice
amass,amass
Accepted,accept
fiction,fiction
undergraduate,undergraduate
crave,crave
blames,blame
pages,page
Painted,paint
stereotyping,stereotype
branching,branch
tweet,tweet
Rotating,rotate
expound,expound
inurned,inurne
cataloged,catalog
civilizes,civilize
provision,provision
precluding,preclude
enshrining,enshrine
contravened,contravene
stultifying,stultify
impelled,impel
Asking,ask
enlightening,enlighten
impels,impel
beckoned,beckon
transmitting,transmit
electrifying,electrify
marbled,marble
constricted,constrict
transfigured,transfigure
absorb,absorb
inhibiting,inhibit
enshrined,enshrine
photograph,photograph
Healing,heal
vilify,vilify
ceasing,cease
blackened,blacken
pledging,pledge
abided,abide
evacuate,evacuate
reward,reward
Banished,banish
evidences,evidence
bhalo,bhalo
injure,injure
bigot,bigot
nationalised,nationalise
Renewed,renew
infested,infest
socialising,socialise
Deepening,deepen
socialised,socialise
instigate,instigate
Uprising,uprise
stipulated,stipulate
cooked,cook
Twining,twine
abstained,abstain
Retreating,retreat
redress,redress
spitting,spit
formalised,formalise
detain,detain
welcome,welcome
transcended,transcend
materialised,materialise
mutineed,mutinee
acceding,accede
erase,erase
helicoptered,helicoptere
redistributing,redistribute
revolted,revolt
pressuring,pressure
Observing,observe
overthrowing,overthrow
seceded,secede
airlifting,airlift
despised,despise
expelling,expel
administer,administer
accelerated,accelerate
export,export
round,round
authorising,authorise
fuelling,fuel
idealised,idealise
legislate,legislate
unquestioned,unquestione
stoke,stoke
routed,route
bombing,bomb
appalled,appal
relaxing,relax
bowed,bow
placate,placate
espousing,espouse
rationalise,rationalise
localised,localise
titling,title
stratified,stratify
speechwriting,speechwrite
meandering,meander
spiced,spice
Assessing,assess
shrewd,shrewd
treasured,treasure
jokes,joke
corrupted,corrupt
epitomized,epitomize
beatifying,beatify
processed,process
honours,honour
Scholarships,scholarship
Formed,form
vocalist,vocalist
Catch,catch
Dolores,dolore
playwrighting,playwrighte
demobilize,demobilize
Chevening,chevene
slashing,slash
degenerated,degenerate
disarmed,disarm
staging,stage
grind,grind
spying,spy
hurts,hurt
surface,surface
extraditing,extradite
codenamed,codename
mediate,mediate
Uribe,uribe
privatized,privatize
uninspiring,uninspire
slacked,slack
proscribed,proscribe
varies,vary
foreclosed,foreclose
Founded,found
evading,evade
inflate,inflate
simulating,simulate
publicizing,publicize
así,así
transplanted,transplant
stillborn,stillborn
oxygenate,oxygenate
transplanting,transplant
stitching,stitch
chases,chase
leap,leap
dozed,doze
awoke,awake
injected,inject
flooded,flood
piggy,piggy
transplants,transplant
temper,temper
sinned,sin
sinning,sin
grope,grope
confesses,confess
modelling,model
radiates,radiate
wowed,wow
zapped,zap
lending,lend
Depicting,depict
craving,crave
Billed,bill
steals,steal
spawn,spawn
rested,rest
carving,carve
newsreading,newsreade
worrying,worry
cohabiting,cohabit
Revolving,revolve
smiled,smile
wringing,wring
disconnect,disconnect
snap,snap
bemoaned,bemoan
air,air
stacked,stack
Showcased,showcase
Reloaded,reload
Donating,donate
binds,bind
surmounting,surmount
giggles,giggle
chilled,chill
pumps,pump
resists,resist
entrusts,entrust
priced,price
Knock,knock
forfeiting,forfeit
arched,arch
tinged,tinge
roused,rouse
mongering,monger
mocks,mock
Bondage,bondage
waked,wake
clothed,clothe
unfits,unfit
assented,assent
rebelled,rebel
Recounting,recount
Dressed,dress
accosted,accost
gaze,gaze
dine,dine
confess,confess
steel,steel
impassioned,impassione
overshadowing,overshadow
esteem,esteem
attach,attach
repent,repent
wretched,wretche
lightened,lighten
excepted,except
abhorred,abhor
cheer,cheer
array,array
abstaining,abstain
agonizing,agonize
loathed,loathe
reassert,reassert
Assing,asse
blighting,blight
boundless,boundless
sweeping,sweep
Graduating,graduate
amour,amour
Transported,transport
overburdened,overburden
supposing,suppose
risks,risk
combatting,combat
haine,haine
romanticising,romanticise
Describes,describe
chaos,chaos
alarms,alarm
symbolises,symbolise
giggling,giggle
attune,attune
capacity,capacity
thrived,thrive
inaugurate,inaugurate
simplifying,simplify
manned,man
disaffected,disaffect
falsifying,falsify
retreating,retreat
Saraswati,Saraswati
trigger,trigger
audiotaped,audiotape
Establishing,establish
ensures,ensure
waver,waver
accumulate,accumulate
Giggling,giggle
twinkling,twinkle
Knowing,know
levied,levy
downloaded,download
Fatherhood,Fatherhood
homeless,homeless
Experiencing,experience
sneak,sneak
frightening,frighten
wrap,wrap
Wanting,want
awed,awe
regrets,regret
Amp,amp
trended,trend
mixtape,mixtape
Hosted,host
deluxe,deluxe
tops,top
Find,find
Restored,restore
nourishes,nourish
Waste,waste
Labeling,label
gospel,gospel
soak,soak
Bridging,bridge
decrying,decry
Debates,debate
obeys,obey
professor,professor
Tear,tear
Dasgupta'—was,dasgupta'—was
begs,beg
nieve,nieve
categorize,categorize
Labelled,label
abandons,abandon
amores,amore
photography,photography
Served,serve
specialised,specialise
Conceived,conceive
adore,adore
parody,parody
affix,affix
studios,studio
disturbs,disturb
gardens,garden
foundered,founder
westernised,westernise
institutionalise,institutionalise
field,field
palestiniennes,palestinienne
investing,invest
Ruling,rule
corroborating,corroborate
propagates,propagate
dabbling,dabble
Shiva,shiva
Staying,stay
chairs,chair
rationing,ration
broadens,broaden
biosynthesise,biosynthesise
Soaring,soar
reinstating,reinstate
hampering,hamper
concerted,concert
Stolen,steal
inflating,inflate
Deconstructing,deconstruct
popularising,popularise
dispossessed,dispossess
accords,accord
fomented,foment
embodie,embodie
Islamized,islamize
obscuring,obscure
forecloses,foreclose
Add,add
demonize,demonize
unedifying,unedifye
irritating,irritate
undergird,undergird
hitherto,hitherto
Irshad,Irshad
dumps,dump
delineating,delineate
subjugate,subjugate
tripped,trip
relinquishing,relinquish
counterbalancing,counterbalance
condoning,condone
privatizing,privatize
combated,combat
subpoenaed,subpoena
impeached,impeach
concurring,concur
notifying,notify
acquaint,acquaint
adjourned,adjourn
voided,void
incumbent,incumbent
jeopardize,jeopardize
repaint,repaint
Deracinated,deracinate
Rereading,reread
repairs,repair
Mend,mend
Melting,melt
bond,bond
spiral,spiral
envies,envy
Drafted,draft
misremembered,misremember
curled,curl
chair,chair
circumvent,circumvent
revitalizing,revitalize
1960s-1970s,1960s-1970s
Releasing,release
rearrange,rearrange
reassess,reassess
ventures,venture
enlight,enlight
sabotaged,sabotage
bartending,bartende
Slept,sleep
dabble,dabble
Achieve,achieve
spoof,spoof
Bet,bet
downsized,downsize
forgiving,forgive
unsealed,unseal
dispensing,dispense
extort,extort
Allred,allre
plowed,plow
roving,rove
reverberated,reverberate
sneering,sneer
bargained,bargain
predicting,predict
room,room
handcuffed,handcuff
ascertained,ascertain
banged,bang
diagnose,diagnose
spite,spite
elapsed,elapse
Building,build
institutionalised,institutionalise
attaches,attach
pump,pump
Noting,note
transitioned,transition
restrain,restrain
reserving,reserve
Opening,open
denigrated,denigrate
foregrounded,foreground
vandalised,vandalise
daubed,daub
legitimise,legitimise
Shape,shape
Chasing,chase
Watch,watch
interviews,interview
Inflicted,inflict
Heartwarming,heartwarme
mistreat,mistreat
stereotypes,stereotype
debates,debate
contests,contest
oppress,oppress
Label,label
shaming,shame
redeeming,redeem
reinterpret,reinterpret
ijtihad,ijtihad
reinterpreted,reinterpret
hover,hover
grapple,grapple
mailing,mail
Start,start
Sánchez,sánchez
alternate,alternate
alerting,alert
accessing,access
exacerbates,exacerbate
swirled,swirl
disapproves,disapprove
updating,update
Fights,fight
disseminating,disseminate
democratizing,democratize
mess,mess
bruising,bruise
selects,select
globalized,globalize
Remake,remake
feminized,feminize
Vanishing,vanish
disavow,disavow
disavowed,disavow
ruminating,ruminate
blur,blur
coerced,coerce
sutured,suture
juxtapose,juxtapose
ascribing,ascribe
recirculate,recirculate
Quilinging,quilinge
Lakas,lakas
bade,bade
fielded,field
busted,bust
installing,instal
ired,ire
contented,content
reinstalled,reinstall
wrested,wrest
mobbed,mob
brokered,broker
vino,vino
reign,reign
accede,accede
reorganised,reorganise
comported,comport
tinted,tint
wizard,wizard
Discovered,discover
appropriates,appropriate
attains,attain
articulates,articulate
piseń,piseń
reestablished,reestablish
Sink,sink
deputado,deputado
refugee,refugee
coursing,course
"stated:""As","stated:""as"
tax,tax
trample,trample
treads,tread
enfranchise,enfranchise
communicates,communicate
blaze,blaze
flour,flour
scolds,scold
"vote:""Ring","vote:""re"
bells,bell
Crowned,crown
enfranchised,enfranchise
extricated,extricate
protests,protest
suffrage,suffrage
eres,ere
Forgetting,forget
Close,close
Recognized,recognize
reworking,rework
categorising,categorise
coloured,colour
foregrounds,foreground
blanked,blank
engraving,engrave
evaporate,evaporate
oscillating,oscillate
stuffed,stuff
monologues,monologue
christen,christen
فاطمہ,فاطمہ
homeschooled,homeschoole
coaching,coach
Meant,mean
ornamented,ornament
trousers,trouser
adorned,adorn
saxophonists,saxophonist
drummer,drummer
notice,notice
patria,patria
storytellers,storyteller
meld,meld
Laughed,laugh
Experimenting,experiment
moonlights,moonlight
Postdeclared,postdeclare
cheat,cheat
improvise,improvise
improvised,improvise
Winifred,winifre
Naming,name
relaunch,relaunch
etch,etch
fills,fill
deviate,deviate
halting,halt
stabbing,stab
creator,creator
mismatched,mismatch
Gene,gene
Ante,ante
dislocated,dislocate
campus,campus
benched,bench
expounded,expound
coaxing,coax
consummating,consummate
emasculating,emasculate
clouded,cloud
chanced,chance
enthralled,enthral
Essie,essie
wired,wire
seating,seat
scarred,scar
standard,standard
skeered,skeere
counseled,counsel
circuited,circuit
objecting,object
imperialist,imperialist
decry,decry
breathed,breathe
denigrate,denigrate
neutralize,neutralize
patterning,pattern
reemerged,reemerge
electroconvulsive,electroconvulsive
necessitating,necessitate
strolling,stroll
bend,bend
vindicate,vindicate
landmarked,landmarke
reproduces,reproduce
Forgive,forgive
stigmatized,stigmatize
Appalled,appal
Providing,provide
branched,branch
cicerone,cicerone
hooks,hook
Wept,wept
Teaching,teach
transgress,transgress
dulls,dull
confin,confin
activated,activate
Rethinking,rethink
Reel,reel
gazing,gaze
stare,stare
avers,aver
objectifying,objectify
rattled,rattle
vetoing,veto
standardized,standardize
blew,blow
cleaning,clean
underscored,underscore
second,second
skating,skate
categorizes,categorize
Respect,respect
restraining,restrain
Causa,Causa
pity,pity
Sound,sound
Escalator,escalator
manuscript,manuscript
redrawn,redrawn
Ghalib,ghalib
energized,energize
Breathe,breathe
Preaching,preach
restos,resto
انتظار,انتظار
Survived,survive
bulldozed,bulldoze
fomos,fomo
toting,tote
shoots,shoot
Adopting,adopt
Picking,pick
irritated,irritate
climaxed,climax
Forbidden,forbid
jeered,jeer
pelted,pelt
haranguing,harangue
guitarist,guitarist
disassociate,disassociate
Preparing,prepare
adheres,adhere
transmit,transmit
wink,wink
typeset,typeset
intermixed,intermix
fantasizing,fantasize
deigns,deign
unsupported,unsupporte
statements,statement
cautioning,caution
Niels,niel
remount,remount
legitimate,legitimate
bundle,bundle
toe,toe
medicated,medicate
loosened,loosen
shields,shield
liking,like
rusticated,rusticate
impoverished,impoverish
romancing,romance
correlated,correlate
fixations,fixation
Denies,deny
polygamy,polygamy
tolerating,tolerate
Qualify,qualify
belie,belie
dwarf,dwarf
librettist,librettist
Reflecting,reflect
degrade,degrade
Passionate,passionate
Vacationing,vacation
maid,maid
hawking,hawk
41)Interspersing,41)intersperse
blast,blast
wrestled,wrestle
recognition,recognition
reinterprets,reinterpret
Received,receive
ex,ex
livres,livre
plunges,plunge
Études,étude
qui,qui
fecund,fecund
burrowing,burrow
bewitching,bewitch
surfs,surf
visualize,visualize
devotes,devote
behold,behold
decaying,decay
lê,lê
glowing,glow
unswerving,unswerve
stoning,stone
assures,assure
Continues,continue
constricting,constrict
fornicating,fornicate
blossoming,blossom
dove,dive
looms,loom
anthologies,anthologie
satire,satire
handpicked,handpicke
astute,astute
nationalize,nationalize
industrialized,industrialize
prerecorded,prerecord
disseminate,disseminate
est,est
Exploiting,exploit
severing,sever
Completing,complete
ambushed,ambush
shelling,shell
Ph.D.,Ph.D.
bewildering,bewilder
bumbling,bumble
Fix,fix
formulated,formulate
bis,bi
reveled,revel
coexisted,coexist
gyrating,gyrate
systematize,systematize
distract,distract
akela,akela
hee,hee
chhed,chhe
Wyar,Wyar
₹60,₹60
autobiographies,autobiographie
Parsa,Parsa
paralysed,paralyse
unraveling,unravel
marauding,maraud
Inhabited,inhabit
Rhodes,rhode
hủy,hủy
overlapping,overlap
crush,crush
Battling,battle
dalit,dalit
district,district
princesa,princesa
Tajik,Tajik
surmised,surmise
Relaying,relay
smashing,smash
Quit,quit
antagonizing,antagonize
reactivated,reactivate
stock,stock
max,max
raps,rap
fakes,fake
retrospective,retrospective
yells,yell
Fight,fight
swimsuit,swimsuit
speculating,speculate
dissed,diss
dissing,diss
commercialized,commercialize
festooned,festoon
hissing,hiss
excoriated,excoriate
brasileira,brasileira
Subjected,subject
sugaring,sugar
gratify,gratify
segregate,segregate
harass,harass
thrash,thrash
refuting,refute
utters,utter
brand,brand
ransacked,ransack
retracting,retract
disenfranchise,disenfranchise
vindicated,vindicate
transpire,transpire
dreaded,dread
tottering,totter
discourage,discourage
sanction,sanction
prioritizing,prioritize
menaced,menace
Marching,march
Allowed,allow
babbling,babble
imbue,imbue
Educating,educate
bordered,border
fried,fry
overflow,overflow
Gaining,gain
delineated,delineate
duplicating,duplicate
ennobled,ennoble
greatness,greatness
bothers,bother
ghostwrote,ghostwrote
simulated,simulate
si,si
shaded,shade
hatched,hatch
Takes,take
jeunes,jeune
universitaires,universitaire
propels,propel
sank,sink
seasoned,season
frying,fry
angled,angle
monographs,monograph
fluctuating,fluctuate
assimilates,assimilate
dwells,dwell
retrieves,retrieve
Agrees,agree
valorized,valorize
Negotiate,negotiate
Faced,face
blackballed,blackball
Encounters,encounter
leased,lease
cricketer,cricketer
breathes,breathe
postulated,postulate
pokes,poke
Condensed,condense
dazzle,dazzle
enchant,enchant
Inspire,inspire
doxing,doxe
Aspiring,aspire
expatriates,expatriate
por,por
achieves,achieve
Works,work
Kit,kit
advertise,advertise
Sobbing,sob
sleuthing,sleuth
obliging,oblige
bypass,bypass
clasped,clasp
libraires,libraire
Owes,owe
glimpse,glimpse
bloom,bloom
Rems,rem
recollected,recollect
bagged,bag
supposes,suppose
hoisting,hoist
illwill,illwill
cinematized,cinematize
Identifying,identify
creatively,creatively
reimagine,reimagine
readdressing,readdresse
edging,edge
Centered,center
Praised,praise
recuperates,recuperate
Tries,try
denigrates,denigrate
Stained,stain
Repeated,repeat
subservient,subservient
widows,widow
authenticate,authenticate
bridges,bridge
Respecting,respect
vice,vice
Checked,check
posts,post
outras,outra
Consumed,consume
Reduced,reduce
Recognize,recognize
journal,journal
obstructing,obstruct
flocked,flock
thronging,throng
Stripping,strip
tasted,taste
disassociated,disassociate
Republished,republish
disappears,disappear
محمد,محمد
encapsulate,encapsulate
grounds,ground
erases,erase
orients,orient
abolishes,abolish
destabilizing,destabilize
diverting,divert
decomposing,decompose
deforming,deform
fascinate,fascinate
carve,carve
hammers,hammer
inscribing,inscribe
Enter,enter
inject,inject
birds,bird
blossom,blossom
Eventos,evento
propounded,propound
stifle,stifle
thrive,thrive
glides,glide
stigmatizing,stigmatize
sangre,sangre
immigrating,immigrate
Revised,revise
Adab,adab
1967)Published,1967)publishe
https://www.scribd.com/doc/177450025/Yadoon-Ki-Dastak-Kewal-Dheer-Aalmi-Urdu-Trust-Dehli-2012,https://www.scribd.com/doc/177450025/Yadoon-Ki-Dastak-Kewal-Dheer-Aalmi-Urdu-Trust-Dehli-2012
Rive,rive
Continued,continue
gleaned,glean
criticism,criticism
accredit,accredit
dump,dump
viaje,viaje
integrates,integrate
italicize,italicize
uprooted,uproot
gamble,gamble
cliques,clique
bodybuilding,bodybuilde
cleanse,cleanse
mopping,mop
chambered,chamber
shells,shell
quashed,quash
congregated,congregate
attesting,attest
Dated,date
handwriting,handwrite
incriminating,incriminate
exhausting,exhaust
predicated,predicate
redeemed,redeem
smile,smile
grimaced,grimace
patted,pat
comfort,comfort
salutes,salute
sprinkled,sprinkle
Teach,teach
strewn,strew
undergirded,undergird
cures,cure
lure,lure
prescribe,prescribe
cleansing,cleanse
grosses,gross
spouts,spout
earing,eare
mistakes,mistake
relax,relax
triggers,trigger
emitting,emit
lures,lure
cranks,crank
obstinate,obstinate
buttress,buttress
legitimizes,legitimize
lengthened,lengthen
dispensed,dispense
hardwired,hardwire
trembled,tremble
peddled,peddle
quantum,quantum
congealing,congeal
Deconstruct,deconstruct
Sell,sell
rambate,rambate
Pack,pack
finalised,finalise
discount,discount
lowland,lowland
speculates,speculate
grazing,graze
slit,slit
corroborated,corroborate
flowered,flower
exemplify,exemplify
decrease,decrease
stipulates,stipulate
denoted,denote
utilize,utilize
gate,gate
engineer,engineer
lapped,lap
absconding,abscond
Acquainted,acquaint
nodded,nod
mattered,matter
lyricists,lyricist
Romancing,romance
digitised,digitise
colourised,colourise
mesmerised,mesmerise
cooperating,cooperate
presume,presume
leaned,lean
readopted,readopte
Representing,represent
taxed,tax
blacks,black
necessitate,necessitate
voter,voter
unceasing,uncease
memorializing,memorialize
revolutionise,revolutionise
aircrew,aircrew
parachuted,parachute
tunnelling,tunnel
blacked,black
Panning,pan
Tribute,tribute
felicitated,felicitate
tightroped,tightrope
dear,dear
fretted,fret
discrediting,discredit
imploring,implore
worshiping,worship
existence,existence
Containing,contain
rearranged,rearrange
queuing,queue
expatriated,expatriate
canonized,canonize
racked,rack
circumscribed,circumscribe
fraying,fray
curdled,curdle
seasickness,seasickness
modernizing,modernize
rivaled,rival
fictionalizes,fictionalize
bands,band
eulogizing,eulogize
hospital,hospital
footed,foot
Bendjedid,Bendjedid
supplanted,supplant
locates,locate
lashing,lash
lobby,lobby
conformed,conform
civilize,civilize
moaning,moan
drilling,drill
leasing,lease
researches,research
Travels,travel
Boiling,boil
cohosted,cohoste
Unleashing,unleash
broadcaster,broadcaster
overnighted,overnighte
demeaned,demean
Escape,escape
freelanced,freelance
moderates,moderate
અહમદ,અહમદ
rummaging,rummage
blasphemed,blaspheme
sow,sow
Capitalizing,capitalize
endeared,endear
raisins,raisin
expliqué,expliqué
collects,collect
profiting,profit
mitigate,mitigate
reaping,reap
derivatives,derivative
codify,codify
Fooled,fool
Gain,gain
squeezing,squeeze
commoditized,commoditize
beaming,beam
mapping,map
compute,compute
constrain,constrain
maximize,maximize
expending,expend
mask,mask
dip,dip
popularises,popularise
procrastinate,procrastinate
bored,bore
punctuated,punctuate
Competing,compete
eulogised,eulogise
Scorn,Scorn
refurbish,refurbish
stringing,string
misjudged,misjudge
excoriating,excoriate
park,park
cruised,cruise
bettered,better
Aligned,align
maximizing,maximize
delink,delink
Resorting,resort
lagging,lag
accruing,accrue
underlie,underlie
differentiates,differentiate
differentiated,differentiate
financialized,financialize
subordinate,subordinate
centralize,centralize
homogenising,homogenise
homogenise,homogenise
polarises,polarise
ven,ven
pales,pale
maneuver,maneuver
conceals,conceal
obscure,obscure
oppresses,oppress
legitimises,legitimise
temps,temp
révolu,révolu
partied,partie
comics,comic
Drained,drain
Kathure,kathure
congregate,congregate
blooms,bloom
befriend,befriend
posied,posie
Name,name
Reflect,reflect
Abandoned,abandon
drag,drag
Scarred,scar
reformulating,reformulate
corrects,correct
spoil,spoil
distort,distort
switches,switch
anglicized,anglicize
customised,customise
maximise,maximise
pivot,pivot
Ofsted,ofste
desecrated,desecrate
cluster,cluster
pilfering,pilfer
entrust,entrust
compered,compere
depraved,deprave
Rejected,reject
publisher,publisher
Infiltrating,infiltrate
creolised,creolise
recapture,recapture
triumph,triumph
Anthologized,anthologize
interrupt,interrupt
jolt,jolt
glean,glean
La,la
livre,livre
Drink,drink
Portrait,portrait
Exists,exist
dissipates,dissipate
Forged,forge
Nind,nind
anthologizes,anthologize
sunrise,sunrise
cashing,cash
dwelt,dwelt
twined,twine
ਤਰਾਸ਼ੇ,ਤਰਾਸ਼ੇ
ਮੇਰਾ,ਮੇਰਾ
ਮਿੱਟੀ,ਮਿੱਟੀ
ਤਾਂ,ਤਾਂ
Setting,set
Flows,flow
Rishta,Rishta
crowdfunding,crowdfunde
ruptures,rupture
grip,grip
amaze,amaze
Tuning,tune
Chain,chain
Relocating,relocate
sculpture,sculpture
Praise,praise
Cartas,carta
grieves,grieve
spy,spy
