token,sentence,idx,pos,event_id,label,simple_label
turns,8,31,VERB,,0,0
18,8,32,NUM,,0,0
.,8,33,PUNCT,,0,0
The,9,0,DET,,0,0
majority,9,1,NOUN,,0,0
's,9,2,PART,,0,0
views,9,3,NOUN,,0,0
were,9,4,AUX,,0,0
expressed,9,5,NOUN,e24,OCCURRENCE,EVENT
in,9,6,ADP,,0,0
three,9,7,NUM,,0,0
separate,9,8,ADJ,,0,0
opinions,9,9,NOUN,,0,0
",",9,10,PUNCT,,0,0
the,9,11,DET,,0,0
most,9,12,ADV,,0,0
disquieting,9,13,NOUN,,0,0
of,9,14,ADP,,0,0
which,9,15,DET,,0,0
was,9,16,AUX,,0,0
written,9,17,NOUN,e25,OCCURRENCE,EVENT
by,9,18,ADP,,0,0
a,9,19,DET,,0,0
liberal,9,20,ADJ,,0,0
member,9,21,NOUN,,0,0
",",9,22,PUNCT,,0,0
Justice,9,23,PROPN,,0,0
John,9,24,PROPN,,0,0
Paul,9,25,PROPN,,0,0
Stevens,9,26,PROPN,,0,0
",",9,27,PUNCT,,0,0
and,9,28,CCONJ,,0,0
joined,9,29,NOUN,e26,OCCURRENCE,EVENT
by,9,30,ADP,,0,0
a,9,31,DET,,0,0
conservative,9,32,ADJ,,0,0
",",9,33,PUNCT,,0,0
Chief,9,34,PROPN,,0,0
Justice,9,35,PROPN,,0,0
William,9,36,PROPN,,0,0
Rehnquist,9,37,PROPN,,0,0
.,9,38,PUNCT,,0,0
The,10,0,DET,,0,0
opinion,10,1,NOUN,e1999,I_STATE,EVENT
",",10,2,PUNCT,,0,0
which,10,3,DET,,0,0
found,10,4,NOUN,e27,I_STATE,EVENT
the,10,5,DET,,0,0
gender,10,6,NOUN,,0,0
distinction,10,7,NOUN,,0,0
reasonable,11,0,NOUN,e1998,STATE,EVENT
",",11,1,PUNCT,,0,0
relied,11,2,VERB,e28,I_STATE,EVENT
heavily,11,3,ADV,,0,0
on,11,4,ADP,,0,0
outmoded,11,5,ADJ,,0,0
generalities,11,6,NOUN,,0,0
about,11,7,ADP,,0,0
family,11,8,NOUN,,0,0
roles,11,9,NOUN,,0,0
",",11,10,PUNCT,,0,0
including,11,11,VERB,,0,0
the,11,12,DET,,0,0
flawed,11,13,ADJ,,0,0
presumption,11,14,NOUN,,0,0
that,11,15,DET,,0,0
mothers,11,16,NOUN,,0,0
have,11,17,AUX,,0,0
a,11,18,DET,,0,0
closer,11,19,ADJ,,0,0
relationship,11,20,NOUN,,0,0
to,11,21,ADP,,0,0
their,11,22,DET,,0,0
children,11,23,NOUN,,0,0
than,11,24,SCONJ,,0,0
fathers,11,25,NOUN,,0,0
do,11,26,AUX,,0,0
.,11,27,PUNCT,,0,0
As,12,0,SCONJ,,0,0
Justice,12,1,PROPN,,0,0
Stephen,12,2,PROPN,,0,0
Breyer,12,3,PROPN,,0,0
asked,12,4,NOUN,e32,OCCURRENCE,EVENT
in,12,5,ADP,,0,0
a,12,6,DET,,0,0
strong,12,7,ADJ,,0,0
dissent,12,8,NOUN,e33,OCCURRENCE,EVENT
",",12,9,PUNCT,,0,0
`,12,10,PUNCT,,0,0
`,12,11,PUNCT,,0,0
what,12,12,DET,,0,0
sense,12,13,NOUN,,0,0
does,12,14,AUX,,0,0
it,12,15,PRON,,0,0
make,12,16,VERB,,0,0
',12,17,PUNCT,,0,0
',12,18,PUNCT,,0,0
to,12,19,PART,,0,0
apply,12,20,VERB,,0,0
citizenship,12,21,NOUN,,0,0
barriers,12,22,NOUN,,0,0
`,12,23,PUNCT,,0,0
`,12,24,PUNCT,,0,0
only,12,25,ADV,,0,0
to,12,26,ADP,,0,0
fathers,12,27,NOUN,,0,0
and,12,28,CCONJ,,0,0
not,12,29,PART,,0,0
to,12,30,ADP,,0,0
mothers,12,31,NOUN,,0,0
in,12,32,ADP,,0,0
today,12,33,NOUN,,0,0
's,12,34,PART,,0,0
world,12,35,NOUN,,0,0
_,12,36,PROPN,,0,0
where,12,37,ADV,,0,0
paternity,12,38,NOUN,,0,0
can,12,39,VERB,,0,0
readily,12,40,ADV,,0,0
be,12,41,AUX,,0,0
proved,12,42,VERB,,0,0
and,12,43,CCONJ,,0,0
where,12,44,ADV,,0,0
women,12,45,NOUN,,0,0
and,12,46,CCONJ,,0,0
men,12,47,NOUN,,0,0
both,12,48,DET,,0,0
are,12,49,AUX,,0,0
likely,12,50,ADJ,,0,0
to,12,51,PART,,0,0
earn,12,52,VERB,,0,0
a,12,53,DET,,0,0
living,12,54,NOUN,,0,0
in,12,55,ADP,,0,0
the,12,56,DET,,0,0
workplace,12,57,NOUN,,0,0
?,12,58,PUNCT,,0,0
',12,59,PUNCT,,0,0
',12,60,PUNCT,,0,0
Justices,13,0,PROPN,,0,0
Sandra,13,1,PROPN,,0,0
Day,13,2,PROPN,,0,0
O'Connor,13,3,PROPN,,0,0
and,13,4,CCONJ,,0,0
Anthony,13,5,PROPN,,0,0
Kennedy,13,6,PROPN,,0,0
seemed,13,7,VERB,,0,0
to,13,8,ADP,,0,0
agree,13,9,NUM,e43,I_ACTION,EVENT
that,13,10,SCONJ,,0,0
the,13,11,DET,,0,0
law,13,12,NOUN,,0,0
amounted,13,13,NOUN,e44,OCCURRENCE,EVENT
to,13,14,ADP,,0,0
unconstitutional,13,15,ADJ,,0,0
sex,13,16,NOUN,,0,0
discrimination,13,17,NOUN,,0,0
.,13,18,PUNCT,,0,0
Butinstead,14,0,NOUN,,0,0
of,14,1,ADP,,0,0
providing,14,2,NUM,e45,I_ACTION,EVENT
the,14,3,DET,,0,0
votes,14,4,NOUN,,0,0
to,14,5,ADP,,0,0
strike,14,6,NOUN,e46,OCCURRENCE,EVENT
it,14,7,PRON,,0,0
down,14,8,ADP,,0,0
",",14,9,PUNCT,,0,0
they,14,10,PRON,,0,0
chose,14,11,VERB,e47,I_ACTION,EVENT
to,14,12,ADP,,0,0
uphold,14,13,PROPN,e48,OCCURRENCE,EVENT
it,14,14,PRON,,0,0
on,14,15,ADP,,0,0
the,14,16,DET,,0,0
flimsy,14,17,ADJ,,0,0
ground,14,18,NOUN,,0,0
that,14,19,SCONJ,,0,0
because,14,20,SCONJ,,0,0
the,14,21,DET,,0,0
sex,14,22,NOUN,,0,0
of,14,23,ADP,,0,0
the,14,24,DET,,0,0
parent,14,25,NOUN,,0,0
and,14,26,CCONJ,,0,0
not,14,27,PART,,0,0
the,14,28,DET,,0,0
child,14,29,NOUN,,0,0
made,14,30,VERB,,0,0
the,14,31,DET,,0,0
difference,14,32,NOUN,,0,0
under,14,33,ADP,,0,0
the,14,34,DET,,0,0
law,14,35,NOUN,,0,0
",",14,36,PUNCT,,0,0
the,14,37,DET,,0,0
plaintiff,14,38,NOUN,,0,0
did,14,39,AUX,,0,0
not,14,40,PART,,0,0
have,14,41,AUX,,0,0
standing,14,42,NOUN,e51,I_STATE,EVENT
to,14,43,ADP,,0,0
bring,14,44,NUM,e52,OCCURRENCE,EVENT
the,14,45,DET,,0,0
case,14,46,NOUN,,0,0
.,14,47,PUNCT,,0,0
The,15,0,DET,,0,0
Justice,15,1,PROPN,,0,0
Department,15,2,PROPN,,0,0
",",15,3,PUNCT,,0,0
which,15,4,DET,,0,0
supported,15,5,VERB,e53,OCCURRENCE,EVENT
the,15,6,DET,,0,0
statute,15,7,NOUN,,0,0
",",15,8,PUNCT,,0,0
did,15,9,AUX,,0,0
not,15,10,PART,,0,0
cover,15,11,VERB,e54,OCCURRENCE,EVENT
itself,15,12,PRON,,0,0
with,15,13,ADP,,0,0
glory,15,14,NOUN,,0,0
either,15,15,ADV,,0,0
.,15,16,PUNCT,,0,0
The,16,0,DET,,0,0
department,16,1,NOUN,,0,0
retreated,16,2,NOUN,e56,OCCURRENCE,EVENT
from,16,3,ADP,,0,0
its,16,4,DET,,0,0
position,16,5,NOUN,,0,0
in,16,6,ADP,,0,0
the,16,7,DET,,0,0
VMI,16,8,PROPN,,0,0
case,16,9,NOUN,,0,0
when,16,10,ADV,,0,0
it,16,11,PRON,,0,0
argued,16,12,VERB,e59,OCCURRENCE,EVENT
that,16,13,SCONJ,,0,0
the,16,14,DET,,0,0
government,16,15,NOUN,,0,0
could,16,16,VERB,,0,0
not,16,17,PART,,0,0
make,16,18,VERB,e60,OCCURRENCE,EVENT
policy,16,19,PROPN,e2004,OCCURRENCE,EVENT
based,16,20,VERB,,0,0
on,16,21,ADP,,0,0
stereotypes,16,22,NOUN,,0,0
`,16,23,PUNCT,,0,0
`,16,24,PUNCT,,0,0
even,16,25,ADV,,0,0
when,16,26,ADV,,0,0
those,16,27,DET,,0,0
stereotypes,16,28,NOUN,,0,0
reflect,16,29,NUM,e65,OCCURRENCE,EVENT
current,16,30,ADJ,,0,0
realities,16,31,NOUN,,0,0
.,16,32,PUNCT,,0,0
',16,33,PUNCT,,0,0
',16,34,PUNCT,,0,0
As,17,0,SCONJ,,0,0
for,17,1,ADP,,0,0
the,17,2,DET,,0,0
court,17,3,NOUN,,0,0
",",17,4,PUNCT,,0,0
it,17,5,PRON,,0,0
managed,17,6,VERB,e66,I_ACTION,EVENT
with,17,7,ADP,,0,0
its,17,8,DET,,0,0
splintered,17,9,VERB,,0,0
ruling,17,10,NOUN,,0,0
to,17,11,ADP,,0,0
cast,17,12,NOUN,e67,OCCURRENCE,EVENT
doubt,17,13,NOUN,,0,0
both,17,14,DET,,0,0
on,17,15,ADP,,0,0
the,17,16,DET,,0,0
constitutionality,17,17,NOUN,,0,0
of,17,18,ADP,,0,0
the,17,19,DET,,0,0
immigration,17,20,NOUN,,0,0
provisions,17,21,NOUN,,0,0
it,17,22,PRON,,0,0
upheld,17,23,VERB,,0,0
and,17,24,CCONJ,,0,0
on,17,25,ADP,,0,0
its,17,26,DET,,0,0
true,17,27,ADJ,,0,0
commitment,17,28,NOUN,,0,0
to,17,29,ADP,,0,0
fighting,17,30,VERB,,0,0
gender,17,31,NOUN,,0,0
stereotypes,17,32,NOUN,,0,0
.,17,33,PUNCT,,0,0
