token,sentence,idx,pos,event_id,label,simple_label
Citing,17,0,INTJ,e2025,REPORTING,EVENT
an,17,1,DET,,0,0
example,17,2,NOUN,,0,0
",",17,3,PUNCT,,0,0
Sgt,17,4,PROPN,,0,0
.,17,5,PUNCT,,0,0
Derek,18,0,PROPN,,0,0
Glenn,18,1,PROPN,,0,0
",",18,2,PUNCT,,0,0
a,18,3,DET,,0,0
spokesman,18,4,NOUN,,0,0
for,18,5,ADP,,0,0
the,18,6,DET,,0,0
Newark,18,7,PROPN,,0,0
Police,18,8,PROPN,,0,0
Department,18,9,PROPN,,0,0
",",18,10,PUNCT,,0,0
said,18,11,NOUN,e14,REPORTING,EVENT
that,18,12,DET,,0,0
of,18,13,ADP,,0,0
nine,18,14,NUM,,0,0
women,18,15,NOUN,,0,0
who,18,16,PRON,,0,0
had,18,17,AUX,,0,0
been,18,18,AUX,,0,0
killed,18,19,NUM,e15,OCCURRENCE,EVENT
last,18,20,ADJ,,0,0
year,18,21,NOUN,,0,0
",",18,22,PUNCT,,0,0
suspects,18,23,NOUN,,0,0
had,18,24,AUX,,0,0
been,18,25,AUX,,0,0
arrested,18,26,NOUN,e17,OCCURRENCE,EVENT
in,18,27,ADP,,0,0
only,18,28,ADV,,0,0
four,18,29,NUM,,0,0
cases,18,30,NOUN,e18,OCCURRENCE,EVENT
.,18,31,PUNCT,,0,0
But,19,0,CCONJ,,0,0
over,19,1,ADP,,0,0
all,19,2,DET,,0,0
",",19,3,PUNCT,,0,0
arrests,19,4,NUM,e59,OCCURRENCE,EVENT
were,19,5,AUX,,0,0
made,19,6,NOUN,e2065,OCCURRENCE,EVENT
in,19,7,ADP,,0,0
more,19,8,ADJ,,0,0
than,19,9,SCONJ,,0,0
60,19,10,NUM,,0,0
percent,19,11,NOUN,,0,0
of,19,12,ADP,,0,0
murder,19,13,NOUN,e2060,OCCURRENCE,EVENT
cases,19,14,NOUN,,0,0
",",19,15,PUNCT,,0,0
he,19,16,PRON,,0,0
said,19,17,VERB,e21,REPORTING,EVENT
.,19,18,PUNCT,,0,0
Eight,20,0,NUM,,0,0
of,20,1,ADP,,0,0
the,20,2,DET,,0,0
14,20,3,NUM,,0,0
killings,20,4,NOUN,e2072,OCCURRENCE,EVENT
since,20,5,SCONJ,,0,0
1993,20,6,NUM,,0,0
were,20,7,AUX,,0,0
already,20,8,ADV,,0,0
under,20,9,ADP,,0,0
investigation,20,10,NOUN,e2093,STATE,EVENT
by,20,11,ADP,,0,0
the,20,12,DET,,0,0
Newark,20,13,PROPN,,0,0
Police,20,14,PROPN,,0,0
Department,20,15,PROPN,,0,0
",",20,16,PUNCT,,0,0
Glenn,20,17,PROPN,,0,0
said,20,18,NOUN,e22,REPORTING,EVENT
.,20,19,PUNCT,,0,0
Of,21,0,ADP,,0,0
the,21,1,DET,,0,0
eight,21,2,NUM,,0,0
victims,21,3,NOUN,,0,0
",",21,4,PUNCT,,0,0
three,21,5,NUM,,0,0
were,21,6,AUX,,0,0
stabbed,21,7,NUM,e23,OCCURRENCE,EVENT
",",21,8,PUNCT,,0,0
two,21,9,NUM,,0,0
were,21,10,AUX,,0,0
strangled,21,11,NOUN,e24,OCCURRENCE,EVENT
",",21,12,PUNCT,,0,0
two,21,13,NUM,,0,0
were,21,14,AUX,,0,0
beaten,21,15,NOUN,e25,I_ACTION,EVENT
to,21,16,ADP,,0,0
death,21,17,NOUN,,0,0
and,21,18,CCONJ,,0,0
one,22,0,NOUN,,0,0
was,22,1,AUX,,0,0
asphyxiated,22,2,NOUN,e26,OCCURRENCE,EVENT
",",22,3,PUNCT,,0,0
he,22,4,PRON,,0,0
said,22,5,VERB,e27,REPORTING,EVENT
",",22,6,PUNCT,,0,0
and,22,7,CCONJ,,0,0
these,22,8,DET,,0,0
different,22,9,ADJ,,0,0
methods,22,10,NOUN,,0,0
of,22,11,ADP,,0,0
killing,22,12,NOUN,,0,0
and,22,13,CCONJ,,0,0
other,22,14,ADJ,,0,0
evidence,22,15,NOUN,,0,0
seem,22,16,NOUN,e29,PERCEPTION,EVENT
to,22,17,ADP,,0,0
indicate,22,18,NOUN,e30,REPORTING,EVENT
that,22,19,SCONJ,,0,0
the,22,20,DET,,0,0
eight,22,21,NUM,,0,0
cases,22,22,NOUN,e2148,OCCURRENCE,EVENT
are,22,23,AUX,,0,0
not,22,24,PART,,0,0
related,22,25,NOUN,e31,STATE,EVENT
.,22,26,PUNCT,,0,0
But,23,0,CCONJ,,0,0
with,23,1,ADP,,0,0
the,23,2,DET,,0,0
task,23,3,NOUN,,0,0
-,23,4,PUNCT,,0,0
force,23,5,NOUN,,0,0
investigation,23,6,NOUN,e66,OCCURRENCE,EVENT
just,23,7,ADV,,0,0
getting,23,8,NOUN,e33,ASPECTUAL,EVENT
under,23,9,ADP,,0,0
way,23,10,NOUN,,0,0
",",23,11,PUNCT,,0,0
officials,23,12,NOUN,,0,0
have,23,13,AUX,,0,0
been,23,14,AUX,,0,0
careful,23,15,PROPN,e2164,I_STATE,EVENT
not,23,16,PART,,0,0
to,23,17,PART,,0,0
draw,23,18,VERB,e34,REPORTING,EVENT
any,23,19,DET,,0,0
firm,23,20,ADJ,,0,0
conclusions,23,21,NOUN,,0,0
",",23,22,PUNCT,,0,0
leaving,23,23,VERB,e35,OCCURRENCE,EVENT
open,23,24,VERB,,0,0
the,23,25,DET,,0,0
possibility,23,26,NOUN,,0,0
of,23,27,ADP,,0,0
a,23,28,DET,,0,0
serial,23,29,ADJ,,0,0
killer,23,30,NOUN,,0,0
in,23,31,ADP,,0,0
some,23,32,DET,,0,0
of,23,33,ADP,,0,0
the,23,34,DET,,0,0
cases,23,35,NOUN,,0,0
.,23,36,PUNCT,,0,0
There,24,0,PRON,,0,0
have,24,1,AUX,,0,0
been,24,2,AUX,,0,0
no,24,3,DET,,0,0
arrests,24,4,NOUN,e36,OCCURRENCE,EVENT
in,24,5,ADP,,0,0
any,24,6,DET,,0,0
of,24,7,ADP,,0,0
the,24,8,DET,,0,0
slayings,24,9,NOUN,e65,OCCURRENCE,EVENT
.,24,10,PUNCT,,0,0
`,25,0,PUNCT,,0,0
`,25,1,PUNCT,,0,0
I,25,2,PRON,,0,0
have,25,3,AUX,,0,0
n't,25,4,PART,,0,0
seen,25,5,NOUN,e38,PERCEPTION,EVENT
a,25,6,DET,,0,0
pattern,25,7,NOUN,,0,0
yet,25,8,ADV,,0,0
",",25,9,PUNCT,,0,0
'',25,10,PUNCT,,0,0
said,25,11,PROPN,e40,REPORTING,EVENT
Patricia,25,12,PROPN,,0,0
Hurt,25,13,PROPN,,0,0
",",25,14,PUNCT,,0,0
the,25,15,DET,,0,0
Essex,25,16,PROPN,,0,0
County,25,17,PROPN,,0,0
prosecutor,25,18,NOUN,,0,0
",",25,19,PUNCT,,0,0
who,25,20,PRON,,0,0
created,25,21,VERB,e41,OCCURRENCE,EVENT
the,25,22,DET,,0,0
task,25,23,NOUN,,0,0
force,25,24,NOUN,,0,0
on,25,25,ADP,,0,0
Tuesday,25,26,PROPN,,0,0
.,25,27,PUNCT,,0,0
`,26,0,PUNCT,,0,0
`,26,1,PUNCT,,0,0
The,26,2,DET,,0,0
type,26,3,NOUN,,0,0
of,26,4,ADP,,0,0
lifestyle,26,5,NOUN,,0,0
these,26,6,DET,,0,0
women,26,7,NOUN,,0,0
have,26,8,CCONJ,e60,STATE,EVENT
is,26,9,AUX,,0,0
extremely,26,10,ADV,,0,0
dangerous,26,11,ADJ,,0,0
",",26,12,PUNCT,,0,0
',26,13,PUNCT,,0,0
',26,14,PUNCT,,0,0
she,26,15,PRON,,0,0
said,26,16,VERB,e42,REPORTING,EVENT
.,26,17,PUNCT,,0,0
